Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,29/05/2025,MI,,C,"6,8","1.500,00",O,S,
1.0,29/05/2025,MI,,C,"171,3","1.500,00",O,S,
1.0,29/05/2025,MI,,C,"421,5","1.500,00",O,S,
1.0,29/05/2025,MI,,C,"0,1","800,00",O,S,
1.0,29/05/2025,MI,,C,"0,1","700,05",O,S,
1.0,29/05/2025,MI,,C,"26,4","501,00",O,S,
1.0,29/05/2025,MI,,C,"2.015,9","501,00",O,S,
1.0,29/05/2025,MI,,C,"266,5","501,00",O,S,
1.0,29/05/2025,MI,,C,"26,4","500,00",O,S,
1.0,29/05/2025,MI,,C,"0,1","500,00",O,S,
1.0,29/05/2025,MI,,C,"83,3","500,00",O,S,
1.0,29/05/2025,MI,,C,"259,4","500,00",O,S,
1.0,29/05/2025,MI,,C,"564,0","500,00",O,S,
1.0,29/05/2025,MI,,C,"0,1","500,00",O,S,
1.0,29/05/2025,MI,,C,"245,1","500,00",O,S,
1.0,29/05/2025,MI,,C,"904,8","500,00",O,S,
1.0,29/05/2025,MI,,C,"0,1","500,00",O,S,
1.0,29/05/2025,MI,,C,"17,0","500,00",O,S,
1.0,29/05/2025,MI,,C,"373,0","500,00",O,S,
1.0,29/05/2025,MI,,C,"40,4","466,30",O,S,
1.0,29/05/2025,MI,,C,"0,1","466,30",O,S,
1.0,29/05/2025,MI,,C,"0,3","466,30",O,S,
1.0,29/05/2025,MI,,C,"134,7","451,00",O,S,
1.0,29/05/2025,MI,,C,"4,5","451,00",O,S,
1.0,29/05/2025,MI,,C,"38,6","451,00",O,S,
1.0,29/05/2025,MI,,C,"156,0","450,00",O,S,
1.0,29/05/2025,MI,,C,"900,3","450,00",O,S,
1.0,29/05/2025,MI,,C,"17,3","449,00",O,S,
1.0,29/05/2025,MI,,C,"48,3","402,00",O,S,
1.0,29/05/2025,MI,,C,"11,9","402,00",O,S,
1.0,29/05/2025,MI,,C,"42,2","400,00",O,S,
1.0,29/05/2025,MI,,C,"4,4","400,00",O,S,
1.0,29/05/2025,MI,,C,"1,3","400,00",O,S,
1.0,29/05/2025,MI,,C,"77,2","400,00",O,S,
1.0,29/05/2025,MI,,C,"7,6","400,00",O,S,
1.0,29/05/2025,MI,,C,"1.397,0","400,00",O,S,
1.0,29/05/2025,MI,,C,"2,2","400,00",O,S,
1.0,29/05/2025,MI,,C,"4,0","400,00",O,S,
1.0,29/05/2025,MI,,C,"440,5","400,00",O,S,
1.0,29/05/2025,MI,,C,"13,2","400,00",O,S,
1.0,29/05/2025,MI,,C,"108,2","400,00",O,S,
1.0,29/05/2025,MI,,C,"1,8","400,00",O,S,
1.0,29/05/2025,MI,,C,"20,3","400,00",O,S,
1.0,29/05/2025,MI,,C,"78,2","400,00",O,S,
1.0,29/05/2025,MI,,C,"178,4","378,53",O,S,
1.0,29/05/2025,MI,,C,"5,2","378,53",O,S,
1.0,29/05/2025,MI,,C,"18,6","378,53",O,S,
1.0,29/05/2025,MI,,C,"56,3","378,53",O,S,
1.0,29/05/2025,MI,,C,"5,6","378,53",O,S,
1.0,29/05/2025,MI,,C,"4,0","378,53",O,S,
1.0,29/05/2025,MI,,C,"3,1","378,53",O,S,
1.0,29/05/2025,MI,,C,"30,6","378,53",O,S,
1.0,29/05/2025,MI,,C,"1,8","378,53",O,S,
1.0,29/05/2025,MI,,C,"1,1","378,53",O,S,
1.0,29/05/2025,MI,,C,"0,5","350,00",O,S,
1.0,29/05/2025,MI,,C,"335,6","350,00",O,S,
1.0,29/05/2025,MI,,C,"11,3","350,00",O,S,
1.0,29/05/2025,MI,,C,"46,6","350,00",O,S,
1.0,29/05/2025,MI,,C,"0,8","350,00",O,S,
1.0,29/05/2025,MI,,C,"6,0","343,35",O,S,
1.0,29/05/2025,MI,,C,"9,9","302,00",O,S,
1.0,29/05/2025,MI,,C,"38,1","302,00",O,S,
1.0,29/05/2025,MI,,C,"1,5","302,00",O,S,
1.0,29/05/2025,MI,,C,"0,7","301,00",O,S,
1.0,29/05/2025,MI,,C,"28,6","300,30",O,S,
1.0,29/05/2025,MI,,C,"0,1","300,30",O,S,
1.0,29/05/2025,MI,,C,"0,1","300,30",O,S,
1.0,29/05/2025,MI,,C,"1,9","300,03",O,S,
1.0,29/05/2025,MI,,C,"7,5","300,03",O,S,
1.0,29/05/2025,MI,,C,"3,6","300,03",O,S,
1.0,29/05/2025,MI,,C,"7,2","300,03",O,S,
1.0,29/05/2025,MI,,C,"2,1","300,03",O,S,
1.0,29/05/2025,MI,,C,"5,5","300,03",O,S,
1.0,29/05/2025,MI,,C,"0,4","300,03",O,S,
1.0,29/05/2025,MI,,C,"28,1","300,03",O,S,
1.0,29/05/2025,MI,,C,"2,7","300,03",O,S,
1.0,29/05/2025,MI,,C,"0,2","300,03",O,S,
1.0,29/05/2025,MI,,C,"0,7","300,03",O,S,
1.0,29/05/2025,MI,,C,"0,1","300,03",O,S,
1.0,29/05/2025,MI,,C,"1,5","300,00",O,S,
1.0,29/05/2025,MI,,C,"1,1","300,00",O,S,
1.0,29/05/2025,MI,,C,"0,7","300,00",O,S,
1.0,29/05/2025,MI,,C,"5,9","300,00",O,S,
1.0,29/05/2025,MI,,C,"269,7","300,00",O,S,
1.0,29/05/2025,MI,,C,"84,4","300,00",O,S,
1.0,29/05/2025,MI,,C,"54,9","300,00",O,S,
1.0,29/05/2025,MI,,C,"0,1","300,00",O,S,
1.0,29/05/2025,MI,,C,"0,1","300,00",O,S,
1.0,29/05/2025,MI,,C,"0,1","300,00",O,S,
1.0,29/05/2025,MI,,C,"1,9","300,00",O,S,
1.0,29/05/2025,MI,,C,"0,3","300,00",O,S,
1.0,29/05/2025,MI,,C,"11,9","300,00",O,S,
1.0,29/05/2025,MI,,C,"80,0","300,00",O,S,
1.0,29/05/2025,MI,,C,"0,9","300,00",O,S,
1.0,29/05/2025,MI,,C,"4,1","300,00",O,S,
1.0,29/05/2025,MI,,C,"34,6","300,00",O,S,
1.0,29/05/2025,MI,,C,"5,4","300,00",O,S,
1.0,29/05/2025,MI,,C,"147,3","300,00",O,S,
1.0,29/05/2025,MI,,C,"137,4","300,00",O,S,
1.0,29/05/2025,MI,,C,"1,1","300,00",O,S,
1.0,29/05/2025,MI,,C,"14,8","300,00",O,S,
1.0,29/05/2025,MI,,C,"5,5","300,00",O,S,
1.0,29/05/2025,MI,,C,"2,1","300,00",O,S,
1.0,29/05/2025,MI,,C,"27,0","300,00",O,S,
1.0,29/05/2025,MI,,C,"0,2","300,00",O,S,
1.0,29/05/2025,MI,,C,"0,6","300,00",O,S,
1.0,29/05/2025,MI,,C,"508,2","300,00",O,S,
1.0,29/05/2025,MI,,C,"127,5","300,00",O,S,
1.0,29/05/2025,MI,,C,"1,4","300,00",O,S,
1.0,29/05/2025,MI,,C,"0,6","300,00",O,S,
1.0,29/05/2025,MI,,C,"0,1","300,00",O,S,
1.0,29/05/2025,MI,,C,"0,6","300,00",O,S,
1.0,29/05/2025,MI,,C,"367,4","300,00",O,S,
1.0,29/05/2025,MI,,C,"9,8","300,00",O,S,
1.0,29/05/2025,MI,,C,"4,2","300,00",O,S,
1.0,29/05/2025,MI,,C,"17,0","300,00",O,S,
1.0,29/05/2025,MI,,C,"0,1","300,00",O,S,
1.0,29/05/2025,MI,,C,"0,2","300,00",O,S,
1.0,29/05/2025,MI,,C,"53,8","300,00",O,S,
1.0,29/05/2025,MI,,C,"1,0","300,00",O,S,
1.0,29/05/2025,MI,,C,"1,8","300,00",O,S,
1.0,29/05/2025,MI,,C,"2,0","300,00",O,S,
1.0,29/05/2025,MI,,C,"4,9","300,00",O,S,
1.0,29/05/2025,MI,,C,"50,8","300,00",O,S,
1.0,29/05/2025,MI,,C,"80,0","300,00",O,S,
1.0,29/05/2025,MI,,C,"45,7","300,00",O,S,
1.0,29/05/2025,MI,,C,"2,1","300,00",O,S,
1.0,29/05/2025,MI,,C,"0,1","300,00",O,S,
1.0,29/05/2025,MI,,C,"0,6","300,00",O,S,
1.0,29/05/2025,MI,,C,"78,7","299,00",O,S,
1.0,29/05/2025,MI,,C,"6,6","281,00",O,S,
