Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,26/06/2025,MI,,C,7.0,1500.0,O,S,
1.0,26/06/2025,MI,,C,207.9,1500.0,O,S,
1.0,26/06/2025,MI,,C,531.1,1500.0,O,S,
1.0,26/06/2025,MI,,C,0.1,800.0,O,S,
1.0,26/06/2025,MI,,C,0.1,700.05,O,S,
1.0,26/06/2025,MI,,C,2050.2,501.0,O,S,
1.0,26/06/2025,MI,,C,297.5,501.0,O,S,
1.0,26/06/2025,MI,,C,26.4,501.0,O,S,
1.0,26/06/2025,MI,,C,938.9,500.0,O,S,
1.0,26/06/2025,MI,,C,0.1,500.0,O,S,
1.0,26/06/2025,MI,,C,312.7,500.0,O,S,
1.0,26/06/2025,MI,,C,78.7,500.0,O,S,
1.0,26/06/2025,MI,,C,730.6,500.0,O,S,
1.0,26/06/2025,MI,,C,620.3,500.0,O,S,
1.0,26/06/2025,MI,,C,225.4,500.0,O,S,
1.0,26/06/2025,MI,,C,0.1,500.0,O,S,
1.0,26/06/2025,MI,,C,16.8,500.0,O,S,
1.0,26/06/2025,MI,,C,392.7,500.0,O,S,
1.0,26/06/2025,MI,,C,27.1,500.0,O,S,
1.0,26/06/2025,MI,,C,40.4,466.3,O,S,
1.0,26/06/2025,MI,,C,0.3,466.3,O,S,
1.0,26/06/2025,MI,,C,4.9,451.0,O,S,
1.0,26/06/2025,MI,,C,38.6,451.0,O,S,
1.0,26/06/2025,MI,,C,134.7,451.0,O,S,
1.0,26/06/2025,MI,,C,946.9,450.0,O,S,
1.0,26/06/2025,MI,,C,165.6,450.0,O,S,
1.0,26/06/2025,MI,,C,18.1,449.0,O,S,
1.0,26/06/2025,MI,,C,6.4,406.3,O,S,
1.0,26/06/2025,MI,,C,14.4,402.0,O,S,
1.0,26/06/2025,MI,,C,57.6,402.0,O,S,
1.0,26/06/2025,MI,,C,47.9,400.0,O,S,
1.0,26/06/2025,MI,,C,6.6,400.0,O,S,
1.0,26/06/2025,MI,,C,2.4,400.0,O,S,
1.0,26/06/2025,MI,,C,1.4,400.0,O,S,
1.0,26/06/2025,MI,,C,76.9,400.0,O,S,
1.0,26/06/2025,MI,,C,8.6,400.0,O,S,
1.0,26/06/2025,MI,,C,1321.4,400.0,O,S,
1.0,26/06/2025,MI,,C,4.4,400.0,O,S,
1.0,26/06/2025,MI,,C,551.5,400.0,O,S,
1.0,26/06/2025,MI,,C,15.4,400.0,O,S,
1.0,26/06/2025,MI,,C,20.7,400.0,O,S,
1.0,26/06/2025,MI,,C,78.7,400.0,O,S,
1.0,26/06/2025,MI,,C,1.8,400.0,O,S,
1.0,26/06/2025,MI,,C,47.8,400.0,O,S,
1.0,26/06/2025,MI,,C,0.7,350.0,O,S,
1.0,26/06/2025,MI,,C,1.0,350.0,O,S,
1.0,26/06/2025,MI,,C,474.5,350.0,O,S,
1.0,26/06/2025,MI,,C,1.6,350.0,O,S,
1.0,26/06/2025,MI,,C,56.8,350.0,O,S,
1.0,26/06/2025,MI,,C,345.9,350.0,O,S,
1.0,26/06/2025,MI,,C,0.4,324.52,O,S,
1.0,26/06/2025,MI,,C,81.6,324.52,O,S,
1.0,26/06/2025,MI,,C,5.3,304.87,O,S,
1.0,26/06/2025,MI,,C,3.2,304.87,O,S,
1.0,26/06/2025,MI,,C,38.3,304.87,O,S,
1.0,26/06/2025,MI,,C,3.1,304.87,O,S,
1.0,26/06/2025,MI,,C,5.2,304.87,O,S,
1.0,26/06/2025,MI,,C,141.0,304.87,O,S,
1.0,26/06/2025,MI,,C,18.3,304.87,O,S,
1.0,26/06/2025,MI,,C,0.4,304.87,O,S,
1.0,26/06/2025,MI,,C,78.6,304.87,O,S,
1.0,26/06/2025,MI,,C,4.7,304.87,O,S,
1.0,26/06/2025,MI,,C,1.5,302.0,O,S,
1.0,26/06/2025,MI,,C,38.8,302.0,O,S,
1.0,26/06/2025,MI,,C,9.8,302.0,O,S,
1.0,26/06/2025,MI,,C,1.6,301.0,O,S,
1.0,26/06/2025,MI,,C,0.1,300.3,O,S,
1.0,26/06/2025,MI,,C,28.6,300.3,O,S,
1.0,26/06/2025,MI,,C,0.2,300.3,O,S,
1.0,26/06/2025,MI,,C,0.5,300.03,O,S,
1.0,26/06/2025,MI,,C,2.1,300.03,O,S,
1.0,26/06/2025,MI,,C,8.3,300.03,O,S,
1.0,26/06/2025,MI,,C,9.8,300.03,O,S,
1.0,26/06/2025,MI,,C,2.1,300.03,O,S,
1.0,26/06/2025,MI,,C,38.3,300.03,O,S,
1.0,26/06/2025,MI,,C,3.6,300.03,O,S,
1.0,26/06/2025,MI,,C,0.9,300.03,O,S,
1.0,26/06/2025,MI,,C,0.2,300.03,O,S,
1.0,26/06/2025,MI,,C,0.1,300.03,O,S,
1.0,26/06/2025,MI,,C,6.8,300.03,O,S,
1.0,26/06/2025,MI,,C,3.1,300.03,O,S,
1.0,26/06/2025,MI,,C,299.1,300.0,O,S,
1.0,26/06/2025,MI,,C,85.8,300.0,O,S,
1.0,26/06/2025,MI,,C,30.1,300.0,O,S,
1.0,26/06/2025,MI,,C,0.1,300.0,O,S,
1.0,26/06/2025,MI,,C,9.3,300.0,O,S,
1.0,26/06/2025,MI,,C,113.3,300.0,O,S,
1.0,26/06/2025,MI,,C,0.7,300.0,O,S,
1.0,26/06/2025,MI,,C,0.4,300.0,O,S,
1.0,26/06/2025,MI,,C,0.3,300.0,O,S,
1.0,26/06/2025,MI,,C,0.1,300.0,O,S,
1.0,26/06/2025,MI,,C,1.3,300.0,O,S,
1.0,26/06/2025,MI,,C,0.2,300.0,O,S,
1.0,26/06/2025,MI,,C,0.1,300.0,O,S,
1.0,26/06/2025,MI,,C,1.8,300.0,O,S,
1.0,26/06/2025,MI,,C,6.4,300.0,O,S,
1.0,26/06/2025,MI,,C,157.2,300.0,O,S,
1.0,26/06/2025,MI,,C,145.8,300.0,O,S,
1.0,26/06/2025,MI,,C,1.5,300.0,O,S,
1.0,26/06/2025,MI,,C,4.0,300.0,O,S,
1.0,26/06/2025,MI,,C,40.6,300.0,O,S,
1.0,26/06/2025,MI,,C,1.1,300.0,O,S,
1.0,26/06/2025,MI,,C,16.4,300.0,O,S,
1.0,26/06/2025,MI,,C,6.0,300.0,O,S,
1.0,26/06/2025,MI,,C,2.3,300.0,O,S,
1.0,26/06/2025,MI,,C,27.0,300.0,O,S,
1.0,26/06/2025,MI,,C,0.1,300.0,O,S,
1.0,26/06/2025,MI,,C,0.8,300.0,O,S,
1.0,26/06/2025,MI,,C,0.3,300.0,O,S,
1.0,26/06/2025,MI,,C,0.7,300.0,O,S,
1.0,26/06/2025,MI,,C,53.1,300.0,O,S,
1.0,26/06/2025,MI,,C,0.7,300.0,O,S,
1.0,26/06/2025,MI,,C,512.0,300.0,O,S,
1.0,26/06/2025,MI,,C,2.0,300.0,O,S,
1.0,26/06/2025,MI,,C,156.7,300.0,O,S,
1.0,26/06/2025,MI,,C,2.7,300.0,O,S,
1.0,26/06/2025,MI,,C,6.6,300.0,O,S,
1.0,26/06/2025,MI,,C,69.5,300.0,O,S,
1.0,26/06/2025,MI,,C,12.5,300.0,O,S,
1.0,26/06/2025,MI,,C,3.9,300.0,O,S,
1.0,26/06/2025,MI,,C,18.0,300.0,O,S,
1.0,26/06/2025,MI,,C,87.2,300.0,O,S,
1.0,26/06/2025,MI,,C,36.0,300.0,O,S,
1.0,26/06/2025,MI,,C,1.2,300.0,O,S,
1.0,26/06/2025,MI,,C,2.5,300.0,O,S,
1.0,26/06/2025,MI,,C,0.8,300.0,O,S,
1.0,26/06/2025,MI,,C,0.6,300.0,O,S,
1.0,26/06/2025,MI,,C,1.8,300.0,O,S,
1.0,26/06/2025,MI,,C,92.2,299.0,O,S,
1.0,26/06/2025,MI,,C,25.0,280.0,O,S,
1.0,26/06/2025,MI,,C,2.4,280.0,O,S,
1.0,26/06/2025,MI,,C,0.9,280.0,O,S,
1.0,26/06/2025,MI,,C,888.0,280.0,O,S,
1.0,26/06/2025,MI,,C,3.7,280.0,O,S,
1.0,26/06/2025,MI,,C,779.2,280.0,O,S,
1.0,26/06/2025,MI,,C,4936.4,280.0,O,S,
1.0,26/06/2025,MI,,C,7.2,280.0,O,S,
1.0,26/06/2025,MI,,C,2.1,280.0,O,S,
1.0,26/06/2025,MI,,C,380.9,280.0,O,S,
1.0,26/06/2025,MI,,C,1.5,280.0,O,S,
1.0,26/06/2025,MI,,C,1.0,275.0,O,S,
1.0,26/06/2025,MI,,C,932.8,275.0,O,S,
1.0,26/06/2025,MI,,C,0.1,272.75,O,S,
1.0,26/06/2025,MI,,C,16.4,272.75,O,S,
1.0,26/06/2025,MI,,C,50.8,265.63,O,S,
1.0,26/06/2025,MI,,C,100.0,265.63,O,S,
1.0,26/06/2025,MI,,C,32.2,265.63,O,S,
1.0,26/06/2025,MI,,C,0.1,262.0,O,S,
1.0,26/06/2025,MI,,C,52.5,260.63,O,S,
1.0,26/06/2025,MI,,C,0.7,260.0,O,S,
1.0,26/06/2025,MI,,C,0.8,260.0,O,S,
1.0,26/06/2025,MI,,C,8.7,255.0,O,S,
1.0,26/06/2025,MI,,C,2.4,254.52,O,S,
1.0,26/06/2025,MI,,C,0.3,254.52,O,S,
1.0,26/06/2025,MI,,C,2.1,251.0,O,S,
1.0,26/06/2025,MI,,C,1.7,251.0,O,S,
1.0,26/06/2025,MI,,C,0.1,251.0,O,S,
1.0,26/06/2025,MI,,C,0.1,251.0,O,S,
1.0,26/06/2025,MI,,C,0.1,251.0,O,S,
1.0,26/06/2025,MI,,C,0.1,251.0,O,S,
1.0,26/06/2025,MI,,C,0.2,251.0,O,S,
1.0,26/06/2025,MI,,C,0.5,251.0,O,S,
1.0,26/06/2025,MI,,C,0.6,251.0,O,S,
1.0,26/06/2025,MI,,C,2.1,251.0,O,S,
1.0,26/06/2025,MI,,C,0.2,251.0,O,S,
1.0,26/06/2025,MI,,C,3.3,251.0,O,S,
1.0,26/06/2025,MI,,C,0.8,251.0,O,S,
1.0,26/06/2025,MI,,C,0.1,251.0,O,S,
1.0,26/06/2025,MI,,C,0.2,251.0,O,S,
1.0,26/06/2025,MI,,C,1.6,251.0,O,S,
1.0,26/06/2025,MI,,C,0.8,251.0,O,S,
1.0,26/06/2025,MI,,C,6.8,251.0,O,S,
1.0,26/06/2025,MI,,C,3.0,251.0,O,S,
1.0,26/06/2025,MI,,C,0.1,250.0,O,S,
1.0,26/06/2025,MI,,C,0.2,250.0,O,S,
1.0,26/06/2025,MI,,C,2.0,250.0,O,S,
1.0,26/06/2025,MI,,C,0.1,250.0,O,S,
1.0,26/06/2025,MI,,C,1.6,250.0,O,S,
1.0,26/06/2025,MI,,C,0.9,250.0,O,S,
1.0,26/06/2025,MI,,C,3.9,250.0,O,S,
1.0,26/06/2025,MI,,C,0.5,250.0,O,S,
1.0,26/06/2025,MI,,C,0.2,250.0,O,S,
1.0,26/06/2025,MI,,C,5.9,250.0,O,S,
1.0,26/06/2025,MI,,C,15.2,250.0,O,S,
1.0,26/06/2025,MI,,C,2.3,250.0,O,S,
1.0,26/06/2025,MI,,C,0.2,250.0,O,S,
1.0,26/06/2025,MI,,C,0.1,250.0,O,S,
1.0,26/06/2025,MI,,C,0.1,250.0,O,S,
1.0,26/06/2025,MI,,C,0.7,250.0,O,S,
1.0,26/06/2025,MI,,C,36.5,250.0,O,S,
1.0,26/06/2025,MI,,C,0.5,250.0,O,S,
1.0,26/06/2025,MI,,C,0.3,250.0,O,S,
1.0,26/06/2025,MI,,C,2.5,250.0,O,S,
1.0,26/06/2025,MI,,C,0.1,250.0,O,S,
1.0,26/06/2025,MI,,C,0.2,250.0,O,S,
1.0,26/06/2025,MI,,C,0.3,250.0,O,S,
1.0,26/06/2025,MI,,C,0.4,250.0,O,S,
1.0,26/06/2025,MI,,C,1.7,250.0,O,S,
1.0,26/06/2025,MI,,C,1.2,250.0,O,S,
1.0,26/06/2025,MI,,C,11.8,250.0,O,S,
1.0,26/06/2025,MI,,C,0.6,250.0,O,S,
1.0,26/06/2025,MI,,C,1.0,250.0,O,S,
1.0,26/06/2025,MI,,C,670.0,250.0,O,S,
1.0,26/06/2025,MI,,C,0.5,250.0,O,S,
1.0,26/06/2025,MI,,C,1.9,250.0,O,S,
1.0,26/06/2025,MI,,C,0.3,250.0,O,S,
1.0,26/06/2025,MI,,C,1.7,250.0,O,S,
1.0,26/06/2025,MI,,C,1.3,250.0,O,S,
1.0,26/06/2025,MI,,C,0.2,250.0,O,S,
1.0,26/06/2025,MI,,C,0.1,250.0,O,S,
1.0,26/06/2025,MI,,C,0.3,250.0,O,S,
1.0,26/06/2025,MI,,C,7.2,250.0,O,S,
1.0,26/06/2025,MI,,C,0.7,250.0,O,S,
1.0,26/06/2025,MI,,C,0.3,250.0,O,S,
1.0,26/06/2025,MI,,C,0.3,250.0,O,S,
1.0,26/06/2025,MI,,C,0.2,250.0,O,S,
1.0,26/06/2025,MI,,C,0.4,250.0,O,S,
1.0,26/06/2025,MI,,C,4.8,250.0,O,S,
1.0,26/06/2025,MI,,C,1.2,250.0,O,S,
1.0,26/06/2025,MI,,C,0.5,250.0,O,S,
1.0,26/06/2025,MI,,C,50.0,250.0,O,S,
